"ID","experiment","construct","rapa","area","mean_h2b","mean_n","mean_c","slice","phase","ratio","timepoint","normalized_area","normalized_n","normalized_c","normalized_h2b","normalized_ratio"
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",97.85,523.04,377.99,343,3,"early_ana",1.10201166180758,-3,2.24839154411765,0.988622691844955,1.10289389067524,0.907157847269195,0.896389671031428
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",43.52,576.57,382.34,311,4,"ana_telo",1.22938906752412,0,1,1,1,1,1
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",55.36,537.52,389.98,311,4,"ana_telo",1.25395498392283,0,1.27205882352941,1.01998221478265,1,0.932271883726174,1.01998221478265
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",35.55,639.22,368.1,374,5,"ana_telo",0.984224598930481,3,0.816865808823529,0.962755662499346,1.20257234726688,1.10865983315122,0.800580243415229
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",40.32,642.22,374.37,374,5,"ana_telo",1.00098930481283,3,0.926470588235294,0.979154679081446,1.20257234726688,1.11386301750004,0.814216858808362
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",30.49,650.4,363.24,358,6,"ana_telo",1.01463687150838,6,0.700597426470588,0.950044463043365,1.15112540192926,1.1280503668245,0.825317955325378
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",36.74,643.22,367.81,358,6,"ana_telo",1.02740223463687,6,0.844209558823529,0.96199717528901,1.15112540192926,1.11559741228298,0.835701456745477
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",31.21,650.97,360.05,313,7,"ana_telo",1.15031948881789,9,0.717141544117647,0.941701103729665,1.0064308681672,1.12903897185077,0.935683844280909
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",37.46,642.16,362.21,313,7,"ana_telo",1.15722044728435,9,0.860753676470588,0.947350525710101,1.0064308681672,1.11375895381307,0.941297167718344
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",33.15,635.42,356.82,370,8,"ana_telo",0.964378378378378,12,0.76171875,0.933253125490401,1.18971061093248,1.10206913297605,0.784437086560848
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",38.93,623.92,355.82,370,8,"ana_telo",0.961675675675676,12,0.89453125,0.93063765235131,1.18971061093248,1.08212359297223,0.782238675354748
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",33.95,599.69,358.23,394,9,"ana_telo",0.909213197969543,15,0.780101102941177,0.936940942616519,1.26688102893891,1.04009920738158,0.739565058765829
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",43.24,591.15,360.02,394,9,"ana_telo",0.913756345177665,15,0.993566176470588,0.941622639535492,1.26688102893891,1.02528747593527,0.74326050988715
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",37.92,578.03,359.41,405,10,"ana_telo",0.887432098765432,18,0.871323529411765,0.940027200920647,1.30225080385852,1.00253221638309,0.721848048114371
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",48.02,583.79,357.98,405,10,"ana_telo",0.883901234567901,18,1.10340073529412,0.936287074331747,1.30225080385852,1.01252233033283,0.718976000289314
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",41.66,557.95,361.22,331,11,"ana_telo",1.09129909365559,21,0.957261029411765,0.944761207302401,1.06430868167203,0.967705569141648,0.887675937978991
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",48.9,568.83,359.44,331,11,"ana_telo",1.08592145015106,21,1.12362132352941,0.940105665114819,1.06430868167203,0.986575784380041,0.883301697434165
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",38.15,500.78,346.86,414,12,"ana_telo",0.837826086956522,24,0.876608455882353,0.907203013025056,1.33118971061093,0.86855021940094,0.681497915581622
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",50.65,512.84,344.71,414,12,"ana_telo",0.832632850241546,24,1.16383272058824,0.901579745776011,1.33118971061093,0.889467020483202,0.677273673759272
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",52.92,506.35,355.15,410,13,"ana_telo",0.866219512195122,27,1.21599264705882,0.928885285348119,1.31832797427653,0.878210798341919,0.704593472544547
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",56.02,522.6,354.9,410,13,"ana_telo",0.865609756097561,27,1.28722426470588,0.928231417063347,1.31832797427653,0.906394713564702,0.704097489528536
"c10","RJ004_2021-02-10_C3GFP-A1-FRB_3","C3GFP-A1-FRB","wo",54.79,496.45,345.91,391,14,"ana_telo",0.884680306905371,30,1.25896139705882,0.90471831354292,1.2572347266881,0.861040289990808,0.719609707191425
